name	userid	followers	followees	bio	time
acadianps	1760113310	229240	132	This is the official Instagram account for Acadia National Park in Bar Harbor, Maine.	2019-06-12 15:05:29.493353
archesnps	716395539	195215	107	Official Instagram site for Arches National Park. #ArchesNPS @ArchesNPS	2019-06-12 15:05:32.761594
badlandsnps	1396437996	141885	262	Official Instagram of Badlands National Park. Share photos: #badlandsnps	2019-06-12 15:05:33.472775
bigbendnps	1647920220	148049	164	"Official Instagram of Big Bend National Park and Rio Grande Wild & Scenic River. #BigBendNPS #RioGrandeNPS #HikeBigBend #BigBend
www.nps.gov/rigr &"	2019-06-12 15:05:35.417919
biscaynenps	1974033687	60077	718	The official Instagram account of Biscayne National Park.	2019-06-12 15:05:35.930310
blackcanyonnps	2301465471	22947	145	Black Canyon of the Gunnison is home to some of the steepest cliffs, oldest rock, and craggiest spires in North America. @blackcanyonnps	2019-06-12 15:05:39.000536
brycecanyonnps	1676679171	45978	409	#BryceCanyonNPS #discoverBryce	2019-06-12 15:05:40.536338
canyonlandsnps	2930922474	78146	95	The official Instagram of Canyonlands National Park. #CanyonlandsNPS @CanyonlandsNPS	2019-06-12 15:05:41.293577
capitolreefnps	4813894759	50534	60	The official feed for Capitol Reef National Park. Tag your photos #capitolreefnps if you'd like to be featured in our feed.	2019-06-12 15:05:42.393203
carlsbadcavernsnps	6267424760	43809	210	Official Instagram account of Carlsbad Caverns National Park. Tag us #CarlsbadCaverns #FindYourPark #EncuentraTuParque 🦇	2019-06-12 15:05:46.927706
channelislandsnps	3228076453	24807	128	Official Instagram for Channel Islands National Park.	2019-06-12 15:05:47.707531
congareenps	264028197	11261	373	The official Instagram of Congaree National Park. Check out www.findyourpark.com to see how you can Find Your Park!	2019-06-12 15:05:48.215167
craterlakenps	1991254373	13	0		2019-06-12 15:05:48.718115
cuyahogavalleynps	1989853670	52458	336	The official Instagram of Cuyahoga Valley National Park.	2019-06-12 15:05:49.241983
deathvalleynps	2242696112	198553	133	Death Valley: the lowest & driest place in North America, hottest place on Earth & more! Tag @deathvalleynps & share #DeathValleyLove to be featured!	2019-06-12 15:05:51.494357
denalinps	2129963644	208969	158	DenaliNPS is an official site established by the National Park Service in Aug 2015 to represent Denali National Park and Preserve in Alaska.	2019-06-12 15:05:52.311266
drytortugasnps	1636957301	51413	97	The official Dry Tortugas National Park Instagram account. 🐟🌴☀️ Tag your photos #DryTortugas	2019-06-12 15:05:53.954888
evergladesnps	1130671543	47915	388	America's Everglades – The largest subtropical wilderness in the United States! Tag your photos #EvergladesNationalPark	2019-06-12 15:05:58.357368
